date,theta1,theta2,OT
1,1.570796327,1.570796327,1.570796327
2,1.579815327,1.570796327,1.570796327
3,1.587852713,1.570797634,1.570797634
4,1.594908426,1.570800574,1.570800574
5,1.600982794,1.570804773,1.570804773
6,1.60607639,1.570809411,1.570809411
7,1.610189901,1.57081344,1.57081344
8,1.613324026,1.570815762,1.570815762
9,1.61547939,1.570815378,1.570815378
10,1.616656476,1.570811504,1.570811504
11,1.616855585,1.570803642,1.570803642
12,1.616076805,1.570791635,1.570791635
13,1.614320008,1.57077567,1.57077567
14,1.611584858,1.570756264,1.570756264
15,1.607870848,1.570734208,1.570734208
16,1.603177349,1.570710478,1.570710478
17,1.597503679,1.570686117,1.570686117
18,1.590849198,1.570662077,1.570662077
19,1.583213419,1.570639031,1.570639031
20,1.574596135,1.570617144,1.570617144
21,1.564997577,1.570595819,1.570595819
22,1.554418583,1.570573399,1.570573399
23,1.542860788,1.570546844,1.570546844
24,1.530326827,1.570511384,1.570511384
25,1.516820556,1.570460137,1.570460137
26,1.502347277,1.570383728,1.570383728
27,1.486913968,1.570269886,1.570269886
28,1.470529509,1.570103061,1.570103061
29,1.453204892,1.56986405,1.56986405
30,1.434953417,1.569529663,1.569529663
31,1.415790853,1.569072434,1.569072434
32,1.395735559,1.568460403,1.568460403
33,1.374808565,1.567656977,1.567656977
34,1.353033591,1.566620883,1.566620883
35,1.330437015,1.565306226,1.565306226
36,1.307047787,1.563662647,1.563662647
37,1.282897285,1.561635593,1.561635593
38,1.25801913,1.559166671,1.559166671
39,1.232448966,1.556194099,1.556194099
40,1.206224224,1.552653209,1.552653209
41,1.179383872,1.548477002,1.548477002
42,1.151968182,1.543596731,1.543596731
43,1.12401852,1.537942477,1.537942477
44,1.095577171,1.531443722,1.531443722
45,1.066687204,1.524029881,1.524029881
46,1.037392394,1.515630806,1.515630806
47,1.007737193,1.50617723,1.50617723
48,0.977766749,1.495601171,1.495601171
49,0.947526978,1.483836279,1.483836279
50,0.917064669,1.470818137,1.470818137
51,0.886427628,1.456484518,1.456484518
52,0.855664838,1.440775607,1.440775607
53,0.82482664,1.42363418,1.42363418
54,0.793964911,1.405005758,1.405005758
55,0.763133235,1.384838733,1.384838733
56,0.732387064,1.363084471,1.363084471
57,0.701783837,1.339697382,1.339697382
58,0.67138308,1.314634982,1.314634982
59,0.64124644,1.28785792,1.28785792
60,0.611437677,1.259329988,1.259329988
61,0.582022575,1.229018114,1.229018114
62,0.553068783,1.196892336,1.196892336
63,0.524645559,1.162925778,1.162925778
64,0.496823401,1.127094617,1.127094617
65,0.469673558,1.089378094,1.089378094
66,0.443267388,1.049758575,1.049758575
67,0.417675528,1.008221706,1.008221706
68,0.392966854,0.964756736,0.964756736
69,0.369207162,0.919357066,0.919357066
70,0.346457524,0.872021135,0.872021135
71,0.324772239,0.822753759,0.822753759
72,0.304196287,0.771568067,0.771568067
73,0.284762226,0.718488188,0.718488188
74,0.266486445,0.663552815,0.663552815
75,0.249364778,0.606819739,0.606819739
76,0.233367574,0.548371281,0.548371281
77,0.21843453,0.488320346,0.488320346
78,0.204469822,0.426816442,0.426816442
79,0.191338432,0.364050621,0.364050621
80,0.178864818,0.300257878,0.300257878
81,0.166835144,0.235715476,0.235715476
82,0.155003919,0.170736033,0.170736033
83,0.143105093,0.105655301,0.105655301
84,0.130866433,0.040816011,0.040816011
85,0.118024999,-0.023449507,-0.023449507
86,0.104341144,-0.086834767,-0.086834767
87,0.08960892,-0.1490701,-0.1490701
88,0.073661887,-0.209928054,-0.209928054
89,0.05637451,-0.269223614,-0.269223614
90,0.037660131,-0.326810623,-0.326810623
91,0.017466819,-0.38257608,-0.38257608
92,-0.004227759,-0.436433778,-0.436433778
93,-0.027421566,-0.488318285,-0.488318285
94,-0.052093054,-0.538179818,-0.538179818
95,-0.078205394,-0.585980204,-0.585980204
96,-0.105710034,-0.631689908,-0.631689908
97,-0.13454962,-0.675286007,-0.675286007
98,-0.164660365,-0.716750916,-0.716750916
99,-0.195973956,-0.756071717,-0.756071717
100,-0.228419072,-0.793239922,-0.793239922
101,-0.261922591,-0.828251555,-0.828251555
102,-0.296410526,-0.861107454,-0.861107454
103,-0.331808727,-0.891813726,-0.891813726
104,-0.368043376,-0.920382289,-0.920382289
105,-0.405041284,-0.9468315,-0.9468315
106,-0.44273001,-0.971186805,-0.971186805
107,-0.481037789,-0.993481446,-0.993481446
108,-0.519893303,-1.013757178,-1.013757178
109,-0.559225282,-1.032065014,-1.032065014
110,-0.598961959,-1.048465972,-1.048465972
111,-0.639030417,-1.063031809,-1.063031809
112,-0.679355843,-1.075845689,-1.075845689
113,-0.71986077,-1.087002733,-1.087002733
114,-0.760464365,-1.096610358,-1.096610358
115,-0.801081861,-1.104788289,-1.104788289
116,-0.841624234,-1.111668128,-1.111668128
117,-0.881998238,-1.117392335,-1.117392335
118,-0.922106884,-1.122112529,-1.122112529
119,-0.961850413,-1.125987052,-1.125987052
120,-1.001127779,-1.129177833,-1.129177833
121,-1.039838539,-1.131846692,-1.131846692
122,-1.077885027,-1.134151331,-1.134151331
123,-1.115174594,-1.136241332,-1.136241332
124,-1.151621686,-1.138254506,-1.138254506
125,-1.187149566,-1.140313912,-1.140313912
126,-1.221691524,-1.142525757,-1.142525757
127,-1.255191505,-1.144978272,-1.144978272
128,-1.287604174,-1.14774154,-1.14774154
129,-1.318894492,-1.150868145,-1.150868145
130,-1.34903692,-1.154394443,-1.154394443
131,-1.378014389,-1.15834226,-1.15834226
132,-1.405817144,-1.162720805,-1.162720805
133,-1.432441573,-1.16752865,-1.16752865
134,-1.457889086,-1.172755643,-1.172755643
135,-1.482165095,-1.178384688,-1.178384688
136,-1.505278108,-1.184393329,-1.184393329
137,-1.527238957,-1.190755144,-1.190755144
138,-1.548060154,-1.197440932,-1.197440932
139,-1.567755347,-1.204419705,-1.204419705
140,-1.58633889,-1.211659522,-1.211659522
141,-1.603825486,-1.21912816,-1.21912816
142,-1.620229911,-1.226793667,-1.226793667
143,-1.635566784,-1.234624801,-1.234624801
144,-1.649850394,-1.242591383,-1.242591383
145,-1.663094554,-1.250664574,-1.250664574
146,-1.67531249,-1.258817089,-1.258817089
147,-1.686516751,-1.26702337,-1.26702337
148,-1.696719133,-1.275259708,-1.275259708
149,-1.705930622,-1.28350434,-1.28350434
150,-1.714161343,-1.291737522,-1.291737522
151,-1.721420519,-1.299941571,-1.299941571
152,-1.727716437,-1.308100902,-1.308100902
153,-1.733056417,-1.316202042,-1.316202042
154,-1.737446792,-1.324233638,-1.324233638
155,-1.740892882,-1.332186451,-1.332186451
156,-1.743398983,-1.340053347,-1.340053347
157,-1.74496835,-1.34782927,-1.34782927
158,-1.745603197,-1.355511218,-1.355511218
159,-1.745304689,-1.3630982,-1.3630982
160,-1.744072951,-1.370591191,-1.370591191
161,-1.741907076,-1.377993071,-1.377993071
162,-1.738805149,-1.385308548,-1.385308548
163,-1.734764276,-1.392544072,-1.392544072
164,-1.729780629,-1.399707725,-1.399707725
165,-1.723849503,-1.406809083,-1.406809083
166,-1.716965396,-1.413859055,-1.413859055
167,-1.709122107,-1.420869685,-1.420869685
168,-1.700312858,-1.427853915,-1.427853915
169,-1.690530451,-1.434825293,-1.434825293
170,-1.679767455,-1.441797635,-1.441797635
171,-1.668016435,-1.448784615,-1.448784615
172,-1.655270222,-1.455799292,-1.455799292
173,-1.641522231,-1.462853555,-1.462853555
174,-1.62676683,-1.469957492,-1.469957492
175,-1.61099975,-1.477118679,-1.477118679
176,-1.594218551,-1.484341395,-1.484341395
177,-1.576423114,-1.491625777,-1.491625777
178,-1.557616159,-1.498966937,-1.498966937
179,-1.53780376,-1.506354073,-1.506354073
