date,X,Y,Z,OT
1,0.00E+00,1.00E+00,1.05E+00,1.05E+00
2,2.00E-01,9.80E-01,9.94E-01,9.94E-01
3,3.56E-01,1.07E+00,9.45E-01,9.45E-01
4,4.98E-01,1.24E+00,9.02E-01,9.02E-01
5,6.47E-01,1.49E+00,8.66E-01,8.66E-01
6,8.14E-01,1.81E+00,8.39E-01,8.39E-01
7,1.01E+00,2.21E+00,8.24E-01,8.24E-01
8,1.25E+00,2.72E+00,8.25E-01,8.25E-01
9,1.55E+00,3.35E+00,8.49E-01,8.49E-01
10,1.91E+00,4.12E+00,9.07E-01,9.07E-01
11,2.35E+00,5.07E+00,1.02E+00,1.02E+00
12,2.89E+00,6.23E+00,1.20E+00,1.20E+00
13,3.56E+00,7.66E+00,1.50E+00,1.50E+00
14,4.38E+00,9.39E+00,1.96E+00,1.96E+00
15,5.38E+00,1.15E+01,2.68E+00,2.68E+00
16,6.60E+00,1.40E+01,3.77E+00,3.77E+00
17,8.08E+00,1.69E+01,5.42E+00,5.42E+00
18,9.84E+00,2.02E+01,7.86E+00,7.86E+00
19,1.19E+01,2.38E+01,1.14E+01,1.14E+01
20,1.43E+01,2.73E+01,1.65E+01,1.65E+01
21,1.69E+01,3.00E+01,2.34E+01,2.34E+01
22,1.95E+01,3.10E+01,3.23E+01,3.23E+01
23,2.18E+01,2.87E+01,4.26E+01,4.26E+01
24,2.32E+01,2.17E+01,5.28E+01,5.28E+01
25,2.29E+01,9.77E+00,6.01E+01,6.01E+01
26,2.03E+01,-5.11E+00,6.14E+01,6.14E+01
27,1.52E+01,-1.85E+01,5.60E+01,5.60E+01
28,8.44E+00,-2.67E+01,4.74E+01,4.74E+01
29,1.42E+00,-2.94E+01,4.04E+01,4.04E+01
30,-4.74E+00,-2.92E+01,3.74E+01,3.74E+01
31,-9.63E+00,-2.77E+01,3.82E+01,3.82E+01
32,-1.32E+01,-2.52E+01,4.15E+01,4.15E+01
33,-1.56E+01,-2.11E+01,4.59E+01,4.59E+01
34,-1.67E+01,-1.51E+01,5.01E+01,5.01E+01
35,-1.64E+01,-7.41E+00,5.25E+01,5.25E+01
36,-1.46E+01,7.63E-01,5.21E+01,5.21E+01
37,-1.15E+01,7.78E+00,4.91E+01,4.91E+01
38,-7.67E+00,1.25E+01,4.47E+01,4.47E+01
39,-3.64E+00,1.48E+01,4.04E+01,4.04E+01
40,4.97E-02,1.54E+01,3.71E+01,3.71E+01
41,3.12E+00,1.51E+01,3.52E+01,3.52E+01
42,5.51E+00,1.43E+01,3.42E+01,3.42E+01
43,7.28E+00,1.34E+01,3.40E+01,3.40E+01
44,8.49E+00,1.22E+01,3.41E+01,3.41E+01
45,9.24E+00,1.09E+01,3.44E+01,3.44E+01
46,9.58E+00,9.53E+00,3.46E+01,3.46E+01
47,9.57E+00,8.09E+00,3.46E+01,3.46E+01
48,9.27E+00,6.67E+00,3.43E+01,3.43E+01
49,8.75E+00,5.38E+00,3.37E+01,3.37E+01
50,8.08E+00,4.28E+00,3.28E+01,3.28E+01
51,7.32E+00,3.42E+00,3.18E+01,3.18E+01
52,6.54E+00,2.80E+00,3.06E+01,3.06E+01
53,5.79E+00,2.41E+00,2.93E+01,2.93E+01
54,5.11E+00,2.21E+00,2.80E+01,2.80E+01
55,4.53E+00,2.16E+00,2.67E+01,2.67E+01
56,4.06E+00,2.24E+00,2.55E+01,2.55E+01
57,3.69E+00,2.39E+00,2.43E+01,2.43E+01
58,3.43E+00,2.62E+00,2.32E+01,2.32E+01
59,3.27E+00,2.89E+00,2.22E+01,2.22E+01
60,3.19E+00,3.22E+00,2.12E+01,2.12E+01
61,3.20E+00,3.59E+00,2.02E+01,2.02E+01
62,3.28E+00,4.01E+00,1.94E+01,1.94E+01
63,3.42E+00,4.50E+00,1.86E+01,1.86E+01
64,3.64E+00,5.05E+00,1.79E+01,1.79E+01
65,3.92E+00,5.68E+00,1.73E+01,1.73E+01
66,4.27E+00,6.40E+00,1.69E+01,1.69E+01
67,4.70E+00,7.23E+00,1.65E+01,1.65E+01
68,5.20E+00,8.16E+00,1.63E+01,1.63E+01
69,5.80E+00,9.22E+00,1.63E+01,1.63E+01
70,6.48E+00,1.04E+01,1.65E+01,1.65E+01
71,7.26E+00,1.17E+01,1.70E+01,1.70E+01
72,8.14E+00,1.30E+01,1.77E+01,1.77E+01
73,9.12E+00,1.45E+01,1.89E+01,1.89E+01
